Date,Weekday,Timetable
20170906,A,
20170907,T,
20170908,F,
20170909,,
20170910,,
20170911,M,
20170912,B,
20170913,C,
20170914,T,
20170915,F,
20170916,,
20170917,,
20170918,M,
20170919,A,Custom1
20170920,,
20170921,,
20170922,,
20170923,,
20170924,,
20170925,M,
20170926,B,
20170927,C,PMAssembly
20170928,T,
20170929,,
20170930,,
20171001,,
20171002,M,AMAssembly
20171003,A,
20171004,,
20171005,,
20171006,,
20171007,,
20171008,,
20171009,,
20171010,,
20171011,,
20171012,,
20171013,,
20171014,,
20171015,,
20171016,M,
20171017,B,PMAssembly
20171018,C,
20171019,T,PMAssembly
20171020,F,
20171021,,
20171022,,
20171023,M,
20171024,A,PMAssembly
20171025,B,
20171026,T,
20171027,F,
20171028,,
20171029,,
20171030,M,
20171031,C,PMAssembly
20171101,A,
20171102,T,
20171103,F,
20171104,,
20171105,,
20171106,M,
20171107,B,PMAssembly
20171108,C,
20171109,T,
20171110,F,
20171111,,
20171112,,
20171113,M,
20171114,A,T440
20171115,B,
20171116,T,
20171117,F,
20171118,,
20171119,,
20171120,M,T440
20171121,C,
20171122,A,T440
20171123,,
20171124,,
20171125,,
20171126,,
20171127,M,
20171128,B,
20171129,C,
20171130,T,
20171201,F,
20171202,,
20171203,,
20171204,M,
20171205,A,
20171206,B,
20171207,T,
20171208,F,
20171209,,
20171210,,
20171211,M,
20171212,C,T440
20171213,A,T440
20171214,T,T440
20171215,,
20171216,,
20171217,,
20171218,,
20171219,B,T440
20171220,C,
20171221,T,
20171222,F,
20171223,,
20171224,,
20171225,M,
20171226,A,
20171227,B,
20171228,T,FastDay
20171229,,
20171230,,
20171231,,
20180101,,
20180102,C,
20180103,A,
20180104,T,
20180105,F,
20180106,,
20180107,,
20180108,,
20180109,,
20180110,,
20180111,,
20180112,,
20180113,,
20180114,,
20180115,,
20180116,,
20180117,,
20180118,,
20180119,,
20180120,,
20180121,,
20180122,,
20180123,,
20180124,,
20180125,,
20180126,,
20180127,,
20180128,,
20180129,M,
20180130,B,
20180131,C,
20180201,T,
20180202,F,
20180203,,
20180204,,
20180205,M,
20180206,A,
20180207,B,
20180208,T,
20180209,F,
20180210,,
20180211,,
20180212,M,
20180213,C,
20180214,A,
20180215,T,
20180216,F,
20180217,,
20180218,,
20180219,,
20180220,B,
20180221,C,
20180222,T,
20180223,F,
20180224,,
20180225,,
20180226,M,
20180227,A,
20180228,B,FastDay
20180301,,
20180302,F,
20180303,,
20180304,,
20180305,M,
20180306,C,
20180307,A,
20180308,T,
20180309,F,
20180310,,
20180311,,
20180312,M,
20180313,B,
20180314,C,T440
20180315,T,
20180316,F,
20180317,,
20180318,,
20180319,M,
20180320,A,
20180321,B,
20180322,T,
20180323,F,
20180324,,
20180325,,
20180326,M,
20180327,C,
20180328,,
20180329,,
20180330,,
20180331,,
20180401,,
20180402,,
20180403,,
20180404,,
20180405,,
20180406,,
20180407,,
20180408,,
20180409,,
20180410,A,
20180411,B,
20180412,T,
20180413,F,
20180414,,
20180415,,
20180416,M,
20180417,C,
20180418,A,
20180419,T,T440
20180420,F,
20180421,,
20180422,,
20180423,M,
20180424,B,
20180425,C,
20180426,T,
20180427,F,
20180428,,
20180429,,
20180430,M,
20180501,A,
20180502,B,
20180503,T,
20180504,F,
20180505,,
20180506,,
20180507,M,
20180508,C,
20180509,A,
20180510,T,
20180511,F,
20180512,,
20180513,,
20180514,M,
20180515,B,
20180516,C,
20180517,T,
20180518,,
20180519,,
20180520,,
20180521,,
20180522,A,
20180523,B,
20180524,T,
20180525,F,
20180526,,
20180527,,
20180528,,
20180529,C,
20180530,B,
20180531,T,
20180601,F,
